ID_REF,7471147002_R01C01,7471147002_R01C02,7471147002_R02C01,7471147002_R02C02,7471147002_R03C01,7471147002_R03C02,7471147002_R04C01,7471147002_R04C02,7471147002_R05C01,7471147002_R05C02,7471147002_R06C02,7471147003_R01C02,7471147003_R02C01,7471147003_R02C02,7471147003_R03C01,7471147003_R03C02,7471147003_R04C02,7471147003_R05C01,7471147003_R05C02,7471147003_R06C01,7471147003_R06C02,7471147004_R01C01,7471147004_R02C01,7471147004_R03C01,7471147004_R03C02,7471147004_R04C01,7471147004_R04C02,7471147004_R05C01,7471147004_R05C02,7471147004_R06C01,7471147004_R06C02,7471147006_R01C01,7471147006_R01C02,7471147006_R02C01,7471147006_R02C02,7471147006_R03C01,7471147006_R03C02,7471147006_R04C01,7471147006_R04C02,7471147006_R05C01,7471147006_R05C02,7471147006_R06C01,7471147006_R06C02,7471147012_R01C01,7471147012_R01C02,7471147012_R02C01,7471147012_R02C02,7471147012_R03C01,7471147012_R03C02,7471147012_R04C01
cg00006397,0.74958427515996,0.684007577393083,0.725749507680624,0.731864480850426,0.710804272927103,0.703600852283392,0.701706872376953,0.675513291495215,0.705151172213299,0.694726281480122,0.728621375713721,0.705551345682713,0.72587836168251,0.6551624325995,0.691845808057782,0.745090315303231,0.724140944753964,0.702117950435913,0.693779910070724,0.720291897627637,0.69102602684098,0.698098023895977,0.68734298502785,0.701335970128815,0.718242211164297,0.737197021502644,0.680434171661329,0.702856653205695,0.732843375444141,0.694647220215647,0.701958628873787,0.734592634922146,0.743324869937747,0.734409468439696,0.727248284710954,0.726238649007711,0.739983022418065,0.722607119575873,0.748909815765037,0.746515831829854,0.775252594737245,0.709687154909855,0.745108141905545,0.737473543017265,0.706044625186668,0.675293030996064,0.665532108658347,0.73674143155124,0.700676439312633,0.753641713852177
cg00026803,0.635735171182666,0.607624901526662,0.557497588283518,0.537479216402413,0.592287716383973,0.59627857897722,0.645547481137505,0.635429005425811,0.608004956653059,0.613243469029986,0.578445955206348,0.555877096155642,0.579223035544417,0.681193480035583,0.564773028894794,0.611085469956737,0.615989198572472,0.569360160814609,0.645072246400683,0.569759445090391,0.599526829882088,0.589853558185385,0.644695616399108,0.674312401465304,0.65279733353878,0.600476772093474,0.618274083596236,0.773097574447378,0.605478480770999,0.578133114105832,0.583370980225263,0.548918547191794,0.562198633154416,0.622919331085852,0.605372930064455,0.558547037979918,0.657275292462494,0.592278596649917,0.598437207699951,0.679860480889838,0.648263489708366,0.633480738073527,0.562879522719827,0.645190986597351,0.630283605273067,0.657662944605179,0.600193358808869,0.596111621650591,0.676677212425607,0.636065760547106
cg00045607,0.0529276211037207,0.0429676115814462,0.0527933251790128,0.0499227622865241,0.05719510361113,0.0448062547147023,0.0557921055742027,0.0425420161126106,0.0516583950032283,0.051551570779953,0.0523421705315423,0.0476354223092252,0.0493599173089545,0.0547268886858677,0.0465509578066726,0.0513713500626739,0.050356669731833,0.0484813526536046,0.0470383298896443,0.051560748017748,0.0592483911277561,0.0426354235883897,0.0517322622348895,0.0542337324632187,0.0556395645080622,0.041863147357318,0.050638317467568,0.0477432398344294,0.0510336137252446,0.0356431457001298,0.0504639258586352,0.054889598386335,0.0441461457751928,0.0438005252613901,0.0460088731129686,0.0435888721592797,0.0404617195135248,0.0524670372071128,0.0393582949477152,0.0478725470571087,0.0513640228539086,0.0349896604838472,0.050456971338041,0.0534889831493206,0.0371648517228295,0.0266616573297139,0.0498763141347094,0.0537072154666884,0.0396722285746167,0.049921488115022
cg00056433,0.282483747021095,0.42743084138499,0.155092001833351,0.420869645475466,0.225600303229045,0.200654970416977,0.352767646586275,0.247966760788356,0.144637897126923,0.449388768321142,0.372344831067459,0.149610854667643,0.170761841396004,0.13463670138327,0.635860219289501,0.170220594463235,0.194217632898241,0.214680234942053,0.194028745793778,0.224805021555073,0.204370006055775,0.238215311723067,0.284479184944716,0.239059982390932,0.231227192481363,0.225076418275745,0.155093139595265,0.170703604397854,0.176470770830238,0.26090392493384,0.332114150111051,0.201900341243953,0.247364661542395,0.230122614072425,0.15460269932175,0.164259300236706,0.233233940136051,0.262886388666792,0.240228021456878,0.187661531195874,0.201835400408759,0.196122134724507,0.311077939134556,0.359218457577691,0.24742053042878,0.296698247802981,0.439426116754182,0.266628120399632,0.259233721338184,0.261661040207375
cg00058923,0.877909462341152,0.888250963170172,0.892288362641817,0.888862397915399,0.873847910307218,0.878633417710224,0.874032922191486,0.887884694775027,0.906031459312288,0.906642069615427,0.865797376845971,0.899507744774376,0.881304568181591,0.916167294382218,0.892798467520961,0.860871300808663,0.871624163869594,0.920908002198391,0.882484414114473,0.879146551417906,0.915976020629951,0.887913737531195,0.911202494412612,0.915005468355152,0.886271284891411,0.88350070628983,0.894508165184674,0.887441807917997,0.899162843607774,0.886665930449345,0.911561258135031,0.904432448606906,0.861654441550755,0.883166812014693,0.907822460884303,0.871229677293992,0.906284093796625,0.879144858473766,0.902379693991952,0.887462072966715,0.885977821103316,0.891290849841236,0.888502956819669,0.855031717998142,0.891488535279142,0.913608512166377,0.880609058993059,0.900608184704887,0.906778674795608,0.867592424624303
cg00066554,0.875174668299611,0.904359354788508,0.867081415652039,0.876717425030794,0.854330098528531,0.871916333775267,0.88578482172851,0.89005968057155,0.870460916228654,0.85296846768802,0.876851695698822,0.863661654090908,0.87770307258641,0.860772370446671,0.86771338666835,0.855469573210535,0.879853327584903,0.867518530834157,0.861690486013797,0.866406481673775,0.895792648519401,0.878825782286446,0.888721779331219,0.89487319535711,0.876425861717808,0.870957879671683,0.87422040381453,0.911177101227331,0.879304879487072,0.872421212274988,0.867458106884929,0.883192364376136,0.87438625188807,0.890114901729675,0.852532697154592,0.864568632477405,0.88110129464845,0.886303236701936,0.875368175139288,0.852764211745777,0.891679990853294,0.885533434280285,0.866605775745477,0.895362062277479,0.869020100542371,0.876395553543944,0.863078205865249,0.885888741261579,0.861691490283821,0.873923283009273
cg00084271,0.772788111812764,0.776893457567197,0.494999425709665,0.50067946130313,0.794257818677994,0.502732598567593,0.496334698159748,0.0588507230538787,0.784694130578971,0.49309769156676,0.807424497798771,0.453124426604246,0.793531332287171,0.792954891989098,0.79274460540422,0.485737794200558,0.492095947223136,0.0567550032656089,0.781260817925689,0.500144901903754,0.491341750127573,0.778906442625828,0.785819537155027,0.792675218006395,0.785011171474711,0.489968279851747,0.475318800168808,0.794428369793742,0.775122806335448,0.801441602203627,0.52734952637473,0.792291221755226,0.463843359515416,0.485734154659642,0.807629252858355,0.0576643611924867,0.485499613843407,0.489426467608607,0.0727650545410825,0.493338609817395,0.794564013728555,0.0660455064807973,0.0670981438006665,0.488456835602618,0.506458308868833,0.456980863179483,0.789281679238876,0.796062704709738,0.481402444155509,0.786498789754044
cg00149213,0.0922490194225896,0.100989815275368,0.100028651442256,0.0995747857494343,0.142951681571514,0.0933043771487579,0.113760356837628,0.0717199007214417,0.0662150120128452,0.0741156206160769,0.0694052555222898,0.0795016941998662,0.0849395846471667,0.179072249523072,0.0611313409882289,0.0870877197775407,0.148787291048818,0.128479415855972,0.0983586970020309,0.0837789754514574,0.101263267037353,0.105585547208527,0.126204215121324,0.0721654361390485,0.110129573938413,0.0936498836714529,0.0791006307648798,0.0647411970406422,0.0956509944751282,0.117754325143562,0.124551015312803,0.096763372632629,0.087569626531465,0.072525992929375,0.119596926776985,0.0844855742155923,0.0819668983256276,0.0895626521907476,0.101988891596744,0.077457595627229,0.0802586437581631,0.136938003425443,0.11195659458682,0.0700622017668374,0.0830764688082472,0.147066598204354,0.152182484928072,0.0702704273721625,0.0745335991789314,0.0832293361990365
cg00160981,0.214373774733016,0.256576495267349,0.238048722456692,0.267633484195738,0.280213155484697,0.24429047753007,0.262735474794963,0.230815780966093,0.265762381418167,0.253878392713128,0.280879538213587,0.260489622497906,0.255356742974303,0.2720354120204,0.25823672712228,0.250159354050156,0.235887774513635,0.260588792679731,0.322655882360418,0.238534783189574,0.214661847887343,0.243437883153875,0.262720178592285,0.232046288902966,0.281582786885045,0.24127747103362,0.277737442751336,0.218051311309862,0.276723101945093,0.227475772690583,0.255517937200068,0.314621161291433,0.239573336827038,0.302296065571875,0.277495818965995,0.247791223535998,0.294281563580464,0.288122680543039,0.23736847075417,0.197238106041062,0.211002215823656,0.253803673587405,0.257861405178601,0.232578395579963,0.250084656206199,0.218325438796999,0.267487526553839,0.235268290996656,0.214368742567186,0.224749202947258
cg00222472,0.839666343877586,0.79079736919304,0.808182752976062,0.74438016348832,0.846468118129071,0.867201432137149,0.796830957839241,0.846788978316411,0.843920570997802,0.844158861258875,0.784826888951599,0.822279869002973,0.857271331832684,0.882216004940228,0.767744397318172,0.808514826040771,0.835853507583264,0.819372999187577,0.785089425082501,0.776400269983872,0.753277008022739,0.852904906024655,0.816859435705015,0.84464961584903,0.868093743555306,0.762434049273746,0.848165871876407,0.861468049926583,0.847302193583913,0.811911118945635,0.829911557089768,0.745380218424797,0.822356828730243,0.84382947248626206,0.771384151456857,0.831178225368644,0.74886217028182,0.819410005189371,0.768645824652343,0.791489974147584,0.849274289126011,0.721078153690077,0.833488767666273,0.8457669678983,0.853331395782369,0.804443082095011,0.874556382415978,0.856755067452706,0.886257659818982,0.778408059058662
